A21,E2
A21_alt,E2
A25,E2
A26,E2
A21,E1
A21_alt,E1
A27a,E7
A29b,E7
A33,E4
B21,E14
P1,P13
P1,P14
P1,P15
P1,E2
P2,P13
P2,P14
P2,P15
P8,P13
P8,P14
P8,P15
E29a,E11
E29b,E11
B1,E12
B2,E12
B3,E12
B4,E12
B5,E12
B6,E12
B7,E12
B8,E12
B9,E12
B10,E12
B11,E12
B12,E12
B13,E12
B14,E12
B15,E12
B16,E12
B17,E12
B18,E12
B27a,E12
B28,E12
B33,E12
B34,E12
B35,E12
B36,E12
B37,E12
C1,E12
C2,E12
C3,E12
C4,E12
C5,E12
IP16,E13
B21,E14
C19,E14
C1,E16a
C2,E16a
C3,E16a
C4,E16a
C5,E16a
C1,E7
C2,E7
C3,E7
C4,E7
C5,E7
C1,E14
C2,E14
C3,E14
C4,E14
C5,E14
C19,E14
B2,E16b
IP3a,E16c
IP3b,E16c
A16,E16d
P1,E16d
P2,E16d
