A1a.png,A1a,A1a,zákruta vpravo,no
A1b.png,A1b,A1b,zákruta vľavo,no
A2a.png,A2a,A2a,dvojitá zákruta::coma:: prvá vpravo,no
A2b.png,A2b,A2b,dvojitá zákruta::coma:: prvá vľavo,no
A3a.png,A3a,A3a,nebezpečné klesanie,no
A3b.png,A3b,A3b,nebezpečné stúpanie,no
A4a.png,A4a,A4a,zúžená vozovka z oboch strán,no
A4a_alt.png,A4a_alt,A4a,ako dočasná dopravná značka,no
A4b.png,A4b,A4b,zúžená vozovka sprava,no
A4b_alt.png,A4b_alt,A4b,ako dočasná dopravná značka,no
A4c.png,A4c,A4c,zúžená vozovka zľava,no
A4c_alt.png,A4c_alt,A4c,ako dočasná dopravná značka,no
A5.png,A5,A5,nerovnosť vozovky,no
A5_alt.png,A5_alt,A5,ako dočasná dopravná značka,no
A6.png,A6,A6,spomaľovací prah,no
A7.png,A7,A7,nebezpečná krajnica,no
A7_alt.png,A7_alt,A7,ako dočasná dopravná značka,no
A8.png,A8,A8,nebezpečenstvo šmyku,no
A8_alt.png,A8_alt,A8,ako dočasná dopravná značka,no
A9.png,A9,A9,sneh alebo poľadovica,no
A10.png,A10,A10,hmla,no
A11.png,A11,A11,odletujúci štrk,no
A11_alt.png,A11_alt,A11,ako dočasná dopravná značka,no
A12.png,A12,A12,svetelné signály,no
A12_alt.png,A12_alt,A12,ako dočasná dopravná značka,no
A13.png,A13,A13,priechod pre chodcov,no
A14.png,A14,A14,pozor::coma:: chodci,no
A15.png,A15,A15,pozor::coma:: deti,no
A16.png,A16,A16,pozor::coma:: cyklisti,no
A17.png,A17,A17,pozor::coma:: zvieratá,no
A18.png,A18,A18,pozor::coma:: zver,no
A18_alt.png,A18_alt,A18,pozor::coma:: zver,no
A19.png,A19,A19,práca na ceste,no
A19_alt.png,A19_alt,A19,ako dočasná dopravná značka,no
A20.png,A20,A20,padajúce kamene,no
A21.png,A21,A21,obojsmerná premávka,no
A21_alt.png,A21_alt,A21,ako dočasná dopravná značka,no
A22.png,A22,A22,pozor::coma:: električka,no
A23.png,A23,A23,kolóny,no
A23_alt.png,A23_alt,A23,ako dočasná dopravná značka,no
A24.png,A24,A24,tunel,no
A25.png,A25,A25,železničné priecestie so závorami,no
A26.png,A26,A26,železničné priecestie bez závor,no
A27a.png,A27a,A27a,návestná tabuľa ľavá (240 m),no
A27b.png,A27b,A27b,návestná tabuľa pravá (240 m),no
A28a.png,A28a,A28a,návestná tabuľa ľavá (160 m),no
A28b.png,A28b,A28b,návestná tabuľa pravá (160 m),no
A29a.png,A29a,A29a,návestná tabuľa ľavá (80 m),no
A29b.png,A29b,A29b,návestná tabuľa pravá (80 m),no
A30a.png,A30a,A30a,výstražný kríž pre železničné priecestie jednokoľajové,no
A30b.png,A30b,A30b,výstražný kríž pre železničné priecestie viackoľajové,no
A31.png,A31,A31,pozor::coma:: lietadlá,no
A32.png,A32,A32,bočný vietor,no
A33.png,A33,A33,nehoda,no
A34.png,A34,A34,iné nebezpečenstvo,no
A34_alt.png,A34_alt,A34,ako dočasná dopravná značka,no
P1.png,P1,P1,daj prednosť v jazde,no
P2.png,P2,P2,stoj::coma:: daj prednosť v jazde,no
P3.png,P3,P3,daj prednosť v jazde električke,no
P4.png,P4,P4,križovatka,no
P5.png,P5,P5,križovatka s vedľajšou cestou,no
